GivenName,Surname,StreetAddress,City,State,StateFull,ZipCode,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,Age,CCNumber,CVV2,NationalID,BloodType,Kilograms,Centimeters,Latitude,Longitude
Charles,Morales,911 Hardman Road,St Johnsbury,VT,Vermont,5819,CharlesAMorales@rhyta.com,Owerew,yiZ4woVu1bee,802-748-9944,Hopkins,9/29/1938,78,4.56E+15,51,008-68-9662,A-,60.3,173,44.347553,-72.0041
Elisabeth,Romo,921 Brookside Drive,Clanton,AL,Alabama,35045,ElisabethTRomo@einrot.com,Whissely,oShei9oTho4,205-258-4128,Eagle,3/5/1988,29,5.11E+15,61,418-92-3700,A+,59.3,173,32.74901,-86.762152
Keith,Simmons,2444 Newton Street,St Cloud,MN,Minnesota,56301,KeithGSimmons@cuvox.de,Yousely,vah4Jeis3ei,320-290-8435,Davis,4/19/1926,91,5.55E+15,50,469-56-9983,O-,58.9,173,45.653547,-94.075791
Elsie,Edwards,4910 Railroad Street,Jacksonville Beach,FL,Florida,32250,ElsieLEdwards@einrot.com,Whol1936,Aer3cohlur,904-956-5385,Lloyd,12/1/1936,80,4.49E+15,293,262-21-3651,O+,73.7,162,30.297314,-81.365397
Timothy,Kohl,3172 Charles Street,Flint,MI,Michigan,48548,TimothyHKohl@gustr.com,Withiskeed,aim0Sua2oo,734-415-6741,Dowd,11/10/1978,38,4.56E+15,993,365-04-2166,O+,94.2,171,43.003282,-83.793572
Gwen,Oliva,4833 Walnut Street,Ridgeland,MS,Mississippi,39157,GwenBOliva@dayrep.com,Promarged1938,numah7oV2uG,601-594-7689,Shumway,2/13/1938,79,5.24E+15,711,425-64-2409,A+,51.9,164,32.349025,-90.065071
Frederic,Bryant,1322 Java Lane,Bath,SC,South Carolina,29816,FredericSBryant@jourrapide.com,Subjecome1971,tu0aeXee0,803-594-4792,Bowyer,11/10/1971,45,4.92E+15,946,248-03-9188,O-,70.3,187,33.46496,-81.962481
Raquel,Hirsh,1921 Murphy Court,Minneapolis,MN,Minnesota,55415,RaquelKHirsh@jourrapide.com,Stlef1990,Choo8aekiu,952-239-3675,Glass,6/5/1990,27,5.29E+15,126,470-23-4405,A+,53.8,166,44.946731,-93.16064
Glenda,Smith,2853 Ashwood Drive,Aurelia,IA,Iowa,51005,GlendaESmith@cuvox.de,Exquided,Dei0cohjup,712-434-8311,Wall,5/24/1948,69,5.22E+15,686,479-60-7168,B+,74.7,171,42.807898,-95.360126
Chad,Valenti,2922 Corbin Branch Road,Chattanooga,TN,Tennessee,37403,ChadFValenti@rhyta.com,Tiness,eePie3phee,423-454-9774,Tuttle,9/21/1937,79,5.55E+15,293,412-30-4886,B+,102.3,172,35.097934,-85.216266
